seller_id;seller_reputation+power_seller_status;seller_reputation+level_id;years_antiquity;seller_reputation+metrics+sales+period;n_items;n_subcategories;sold_items;mean_intallments;q10_discount;q50_discount;q90_discount;total_transactions;completed_transactions;canceled_transactions;negative_rating;neutral_rating;positive_rating;total_claims;total_delayed_shipments;total_cancellations;gold_pro;gold_special;label
65236757;Not_medal;5_green;14.28062970568104;365 days;2;1;3;36.0;0.5000008771945219;2.5000043859726095;4.500007894750698;390;358;32;0.03;0.01;0.96;6;6;0;0.0;1.0;3
66208468;platinum;5_green;11.813826146475018;60 days;5;2;1250;36.0;0.0;0.0;0.0;290540;270060;20480;0.13;0.03;0.8400000000000001;840;700;490;0.0;1.0;4
69220783;Not_medal;5_green;11.715263518138261;60 days;1;1;50;12.0;0.0;0.0;0.0;308;288;20;0.04;0.02;0.94;1;4;0;1.0;0.0;9
73243604;platinum;5_green;18.850102669404517;60 days;25;1;52;36.0;0.0;0.0;0.0;99550;92450;7100;0.0;0.0;1.0;50;50;0;0.0;1.0;4
73942093;Not_medal;5_green;14.119096509240247;365 days;1;1;5;36.0;0.0;0.0;0.0;361;326;35;0.07;0.02;0.91;7;27;5;0.0;1.0;3
74858296;Not_medal;5_green;14.08350444900753;365 days;6;1;70;36.0;0.0;0.0;0.0;864;762;102;0.42;0.0;0.58;12;60;6;0.0;1.0;3
76359270;gold;5_green;18.611909650924023;60 days;1;1;3;36.0;0.0;0.0;0.0;3742;3622;120;0.03;0.02;0.95;2;6;0;0.0;1.0;0
76502426;silver;5_green;14.039698836413416;60 days;8;1;38;36.0;0.0;0.0;0.0;13256;12424;832;0.03;0.02;0.95;0;0;0;0.0;1.0;5
79787395;gold;5_green;18.1492128678987;60 days;1;1;5;36.0;0.0;0.0;0.0;2483;2371;112;0.02;0.02;0.96;0;4;0;0.0;1.0;0
81193263;Not_medal;4_light_green;13.900068446269678;365 days;1;1;5;12.0;0.0;0.0;0.0;54;39;15;0.31;0.0;0.69;0;0;0;1.0;0.0;6
81213245;platinum;5_green;13.897330595482547;60 days;5;2;2250;12.0;0.0;0.0;0.0;108955;104515;4440;0.04;0.03;0.93;125;5;85;1.0;0.0;2
82511148;Not_medal;5_green;17.883641341546884;365 days;1;1;1;36.0;0.0;0.0;0.0;151;139;12;0.0;0.02;0.98;4;4;0;0.0;1.0;3
84818143;Not_medal;5_green;13.754962354551678;60 days;1;1;500;12.0;0.0;0.0;0.0;5683;5449;234;0.02;0.01;0.97;6;9;0;1.0;0.0;9
85062679;silver;5_green;13.735797399041752;60 days;4;1;0;36.0;0.0;0.0;0.0;5112;4724;388;0.04;0.02;0.94;4;8;4;0.0;1.0;5
